Section 1 Header,Timestamp,Species,Location Header,GMU,County,District,Area,Region,Same Address,Incident Header,Incident Date,Incident Time,Complaint Type,Type of Property Damage,Service Provided,Hazing Method,Animal Data,Previous Ear Tag?,Ear Tag Side,Ear Tag Color,Ear Tag Number,Previous PIT tag #,Previous Collar,Sex,Age,Color,Further Response,Staff Assigned,Site Inspection Heading,Violation,Violation Action,Citation #,Marked Animal Heading,Capture Method,New Ear Tag Color,New Ear Tag Number,New PIT Tag (Dec),New Collar,Collar Manufacturer,Collar Type,Collar Frequency,Collar Code,Collar Serial #,Release Header,Release Date,Release Location,Seal #,Photos?,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Comments,Total Incidents
Bear/Lion Incident Report,7/13/2020 10:19,Black Bear,Incident Location,20,Boulder,122 - Longmont S,Area 02,NE,N,Incident Information,7/12/2020,2:30:00 AM,Food Source Property Damage,Trash,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/17/2020 11:01,Black Bear,Incident Location,34,Garfield,465 - Glenwood,Area 08,NW,Y,Incident Information,6/15/2020,8:47:00 PM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/2/2020 10:39,Black Bear,Incident Location,511,El Paso,284 - C Spgs NW,Area 14,SE,Y,Incident Information,10/2/2020,4:42:00 AM,"Food Source Property Damage , Sighting",Trash,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/21/2020 11:34,Black Bear,Incident Location,521,Gunnison,342 - Paonia,Area 16,SW,,Incident Information,7/16/2020,11:34:00 AM,Food Source Property Damage,Livestock,"Advice/Phone Call , Site Inspection",,N,,,,,,,,,,N,,Site Inspection,,,,,,,,,,,,,,,,,,,N,,,,,,Bear killed domestic ewe,
Bear/Lion Incident Report,9/8/2020 10:43,Black Bear,Incident Location,79,Rio Grande,365 - S Fk/Del Norte,Area 17,SW,Y,Incident Information,9/6/2020,8:00:00 AM,"Food Source Property Damage , Sighting",Trash,Advice/Phone Call,,N,,,,,,,,,,Y,Jeremy.gallegos@state.co.us,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/21/2020 17:08,Black Bear,Incident Location,581,Fremont,263 - Canon City N,Area 13,SE,Y,Incident Information,8/21/2020,1:00:00 AM,Unsubstantiated,,"Advice/Phone Call , Site Inspection , Educational Materials",,N,,,,,,,,,,Y,Bob.carochi@state.co.us,Site Inspection,N,,,,,,,,,,,,,,,,,,Y,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmJjNGRhYmFjLlBob3RvJTIwMS4yMzI2MzIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWZhM2U2OTUzZjIwMmQzNDM3ODhiN2QzOTNiM2E5MzdmN2QzMWViNjJkZWZhYzYzMmU2NjE2MGU5YmMzMDhkMDcxZDc4OWM2ZGM4ZmFmOTA3NDhiZTg5ZTZjY2YwZTNjYQ==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmJjNGRhYmFjLlBob3RvJTIwMi4yMzI2MzMuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWJlZDA4YmVjY2ZhOWI4ZjVlYzc1MTExNzUxZjEyNDkwMjZlYmYzYzk5ZDM2Y2E0ODFiOWVjZDFhMDAwZDdkNjFmOTIwMjkxZTcyMmNmNmFmOTY1M2I5ZjYxMzJmOGZjNw==&w=600,,,,"Rp thought that a bear got into the backyard and got on their chicken coop.  The chickens free range and go in and out of the coop.  The coop is small and not heavily built it would have been very easy for a bear to rip the coop down and eat all of the chickens.  There were small scratch marks on the side of the coop, showing 4 claws and was consistent with a smaller K-9 like a fox.  Found where it appeared a fox was going under the fence into the backyard.  Explained to the RP that he did not have a bear problem and that the animal getting into the yard was most likely a fox.  Gave the RP a Living with Bears pamphlet in case he experienced any problems with bears in the future and left him the contact information for Canon City North Game Warden Bob Carochi.",
Bear/Lion Incident Report,6/2/2020 13:59,Black Bear,Incident Location,561,Chaffee,261 - Salida W,Area 13,SE,Y,Incident Information,5/27/2020,4:00:00 AM,Food Source Property Damage,Trash,"Advice/Phone Call , Site Inspection , Pyrotechnics",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"RP called Wildlife 261 on 05/28/2020 and Wildlife 261 met with him that day at his place of work. RP stated a bear had walked through his neighborhood 5 out of the last 10 days but last night the bear got into one of the RP’s trash cans. The RP stated that the bear got into the only trash can that was not bear resistant that they rarely actually put trash in. RP also stated that the previous Wildlife Officer in the district was informed of this bear last year and gave the RP non-lethal buck shot. Wildlife 261 told the RP to continue to try and use the non-lethal buck shot on the bear if it comes back and to try to avoid using that trash can that is not bear resistant. RP agreed. 

On 05/30/2020 the RP shot the bear twice with non-lethal buck shot. Bear ran away. 

On 06/02/2020 Wildlife 261 performed an on sight visit. Bear has not returned.",
Bear/Lion Incident Report,9/3/2020 9:11,Black Bear,Incident Location,20,Larimer,123 - Loveland,Area 02,NE,Y,Incident Information,9/3/2020,8:00:00 AM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/6/2020 12:29,Black Bear,Incident Location,511,Teller,281 - Woodland Park,Area 14,SE,Y,Incident Information,7/6/2020,4:00:00 AM,Sighting,,Advice/Phone Call,,Y,,,,,,,Unknown,Sub-Adult,Black,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/21/2020 18:15,Black Bear,Incident Location,51,Douglas,544 - Castle Rock W,Area 05,NE,Y,Incident Information,10/19/2020,8:00:00 PM,Food Source Property Damage,"Trash , Outside Food Source , Livestock",Advice/Phone Call,,Y,N,,,,,,Unknown,Adult,Brown,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/20/2020 11:34,Black Bear,Incident Location,84,Pueblo,221 - Pueblo W,Area 11,SE,Y,Incident Information,7/18/2020,7:18:00 AM,"Food Source Property Damage , Aggressive Behavior",Other,"Site Inspection , Trap Set , Pyrotechnics , Euthanized",,Y,N,,,,,,Female,Adult,Brown,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,Bear broke into RP house and ate food located in pantry. RP got pictures of bear as it was leaving. RP called CSP and WL 222 responded. A trap was set and owners were instructed to euthanize the bear if it showed up again. The bear showed up multiple times on 7/19 and the land owner shot and killed the bear. WL 222 showed up and took the bear which was later donated.,
Bear/Lion Incident Report,8/7/2020 7:43,Black Bear,Incident Location,20,Larimer,124 - Estes Park,Area 02,NE,Y,Incident Information,8/6/2020,2:20:00 AM,Food Source Property Damage,Trash,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/15/2020 14:44,Black Bear,Incident Location,23,Rio Blanco,426 - Meeker N,Area 06,NW,N,Incident Information,6/12/2020,2:44:00 PM,Food Source Property Damage,Livestock,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/17/2020 13:51,Black Bear,Incident Location,72,Montezuma,327 - Cortez,Area 15,SW,Y,Incident Information,8/16/2020,11:00:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/1/2020 0:58,Black Bear,Incident Location,27,Grand,482 - Kremmling N,Area 09,NW,Y,Incident Information,6/30/2020,11:30:00 PM,Food Source Property Damage,"Vehicles , Other","Site Inspection , Euthanized",,Y,N,,,,,,Male,Adult,Black,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,Y,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjVhYzA3ZWIyLlBob3RvJTIwMS4wMjM1MjUuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTVhNWZlMWQ1OTQ5MmJlZGM0YTE2OTVlOGFjNTIxYWRhNjM1NjU1OTc2NGFkYzIwNTg0Y2ViY2UxMWZiN2IwMDg1N2IwYmExMGJiY2M1ZmQ1NTY3ZGIyZDIyYmFjMDcyZg==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjVhYzA3ZWIyLlBob3RvJTIwMi4wMjM1MjUuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWY4MTlhMTRmYTkwM2EzNDU1YzkxMWE1NzdkM2EzOGI0NDk5M2Q3NjUxNThlNTkwY2Y3MjNmNjhkZmRmNjA3ZTRmNmU4MTVjMjVkMDYwY2M1YTY2NzFjMmY0NTZmY2NmNQ==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjVhYzA3ZWIyLlBob3RvJTIwMy4wMjM1MjUuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTI5ZTg0MDZkYzRlMTZhYTMwNGIwZDg5MDdkZTQzODA4ZTZlOTBlM2JiMWNkMDY3MWVjMTRjYmE0NThhMWE2OWJmMmJjMWIwNzk1M2VkMGE5Y2IzODAyZDZmNmVmYmQwMA==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjVhYzA3ZWIyLlBob3RvJTIwNC4wMjM1MjguanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTAyNmJmNzA2ZjcwNTA5MDg3YzM0NGExYjFiZTgzYTYyYjA5YTM4N2IwM2JmMTcwYzhkODE3ZGEwMWRmZWFhMTBmODY5YzA3OGNkYjhiZjcwMDE4NjU0OTBjZDBhNWRhZg==&w=600,,Bear opened truck door and got shut inside. Destroyed interior of truck. Believed to possibly be same bear which has been opening other vehicle doors. Bear euthanized by CPW. WL 482 and 486,
Bear/Lion Incident Report,6/22/2020 7:27,Black Bear,Incident Location,77,Archuleta,325 - Pagosa Spgs W,Area 15,SW,Y,Incident Information,6/21/2020,10:26:00 PM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,5/8/2020 13:08,Black Bear,Incident Location,511,El Paso,284 - C Spgs NW,Area 14,SE,Y,Incident Information,5/7/2020,12:01:00 AM,Food Source Property Damage,Livestock,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/10/2020 19:52,Black Bear,Incident Location,45,Eagle,468 - Vail,Area 08,NW,Y,Incident Information,9/9/2020,7:00:00 AM,Food Source Property Damage,Trash,Advice/Phone Call,,N,,,,,,,,,,Y,Devin.Duval@state.co.us,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/9/2020 8:09,Black Bear,Incident Location,391,Jefferson,546 - Lakewd/SW Den,Area 05,NE,Y,Incident Information,7/9/2020,3:00:00 AM,"Food Source Property Damage , Sighting",Trash,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/17/2020 10:46,Black Bear,Incident Location,54,Gunnison,344 - Gunnison NW,Area 16,SW,Y,Incident Information,8/17/2020,12:00:00 AM,Unsubstantiated,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/18/2020 11:27,Black Bear,Incident Location,751,La Plata,329 - Durango S,Area 15,SW,Y,Incident Information,8/12/2020,11:27:00 AM,"Food Source Property Damage , Sighting",Livestock,"Advice/Phone Call , Site Inspection , Trap Set",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"Bear got into chickens two previous nights. RP called , and trap was set on same day. Trap was unsuccessful and pulled on 8/17.",
Bear/Lion Incident Report,7/24/2020 15:47,Black Bear,Incident Location,75,La Plata,323 - Bayfield,Area 15,SW,Y,Incident Information,7/24/2020,3:47:00 PM,Food Source Property Damage,"Trash , Outside Food Source","Advice/Phone Call , Pyrotechnics",,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/18/2020 9:50,Black Bear,Incident Location,43,Pitkin,462 - Aspen,Area 08,NW,Y,Incident Information,7/16/2020,4:43:00 PM,"Sighting , Aggressive Behavior",,"Advice/Phone Call , Educational Materials",,Y,,,,,,,,Sub-Adult,Black,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/21/2020 12:41,Black Bear,Incident Location,30,Mesa,447 - Debeque,Area 07,NW,Y,Incident Information,9/21/2020,9:14:00 AM,Sighting,,Trap Set,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/19/2020 13:36,Black Bear,Incident Location,12,Rio Blanco,426 - Meeker N,Area 06,NW,N,Incident Information,6/19/2020,1:36:00 PM,Food Source Property Damage,Livestock,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/3/2020 11:35,Black Bear,Incident Location,35,Eagle,467 - Eagle N,Area 08,NW,Y,Incident Information,7/31/2020,2:00:00 AM,Food Source Property Damage,Outside Food Source,"Advice/Phone Call , Educational Materials",,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/6/2020 11:33,Black Bear,Incident Location,29,Boulder,128 - Boulder S,Area 02,NE,Y,Incident Information,10/6/2020,5:30:00 AM,Food Source Property Damage,Trash,"Advice/Phone Call , Site Inspection , Hazed",Pepper Spray,Y,N,,,,,,Unknown,Adult,Black,N,,Site Inspection,,,,,,,,,,,,,,,,,,,Y,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmYzYTUxNzVkLlBob3RvJTIwMS4xNzQyMTYuanBlZyZhcHBWZXJzaW9uPTEuMDAwMzIwJnNpZ25hdHVyZT1lNTM4M2RhMDAwMzQ3Nzg5Zjk3YjM0OWFlMDZlMWZiYTQ2ZDRjODViODhiM2RmYTM3YzQ2NjVjMjc3NzU0ZjhkYWIyNGQ0M2U2NjE2ZTg4ZWZiODBhNzczZWIzMTYyZjM=&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmYzYTUxNzVkLlBob3RvJTIwMi4xNzQyMTYuanBlZyZhcHBWZXJzaW9uPTEuMDAwMzIwJnNpZ25hdHVyZT01MWJhOTZiOTgxOWIwZGFkMjRkODQ4MTk2ZWU5NzNhOTAyYzM3MzZjNTRmYWNhMzI5NmM2OGUwY2VmZjRkZDIyYmQ4NTZjYTc2YmMxYjI3ZTk0ZTA5MzBmYjc5MTYyNzc=&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmYzYTUxNzVkLlBob3RvJTIwMy4xNzQyMTcuanBlZyZhcHBWZXJzaW9uPTEuMDAwMzIwJnNpZ25hdHVyZT02ZDEwZWVhODhmYjRiMDU0NzFmNGZiOGFhNTBlMTRmZjM3ZjI2YTFlOGE2M2VjMDEzMWNmMjRjZDY3MzczOGRmNDdmZjk3NjU4MTUyNTZmNjQ3MjRmZDVmNmM2MjNkNmQ=&w=600,,,"Boulder PD reported a bear that had broken into the residence at 624 through an open window, and removed a bag of trash. Bear was going through garbage bag upon PD arrival. 127 spoke with officer Graham and instructed to haze bear if there was a good opportunity to do so. Graham forwarded pictures of bear to 127. 

127 will follow up with residents at the address.

128 followed up with residents and property manager on 10/9.",
Bear/Lion Incident Report,10/7/2020 8:24,Black Bear,Incident Location,471,Pitkin,462 - Aspen,Area 08,NW,Y,Incident Information,10/6/2020,5:55:00 PM,"Food Source Property Damage , Sighting",Trash,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/10/2020 15:19,Black Bear,Incident Location,37,Summit,488 - Breckenridge E,Area 09,NW,Y,Incident Information,7/9/2020,7:30:00 PM,"Food Source Property Damage , Sighting",Trash,"Advice/Phone Call , Site Inspection",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"Last night bear went into the garage to get trash. Yelled and clapped. Threw a rock at it.
First incident week and half a  ago garbage in back of truck covered with a topper bear tried to get in. hit car horn to scare it off.",
Bear/Lion Incident Report,6/12/2020 11:21,Black Bear,Incident Location,511,El Paso,284 - C Spgs NW,Area 14,SE,N,Incident Information,6/12/2020,11:21:00 AM,Sighting,,Advice/Phone Call,,Y,,,,,,,Unknown,Sub-Adult,Black,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/21/2020 9:31,Black Bear,Incident Location,54,Gunnison,344 - Gunnison NW,Area 16,SW,Y,Incident Information,7/20/2020,9:31:00 AM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmEwMGJkOTdiLlBob3RvJTIwMS4xNzA4MTguanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTQ5NGExZGYwY2UxZTRjMDVjYzBlZjMwNTJmNTZhNGExMDUwMDlhMmZiZjA4YTk4NzFhNGRkZGE3YTQ2MTI1ZTQ2ODA5MmFlZjNmMDUyZjU1MzI1Yzc0ZTk4YjFmZmVhNw==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmEwMGJkOTdiLlBob3RvJTIwMi4xNzA4MTguMS5qcGcmYXBwVmVyc2lvbj0xLjAwMDMyMCZzaWduYXR1cmU9MjQyZTFlOTRlMDNlMjIyMjkyNDllYWQ4MTVlMWYyZDY2NjQ4MWZlYTRkYTkwZDY4NTVkZDc2Zjk3ODlmYjBmMjQ4NTZkNWZkODA1YjdjZDQ5YzMxOWZkOGI4Y2FkNGUy&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmEwMGJkOTdiLlBob3RvJTIwMy4xNzA4MTguMi5qcGcmYXBwVmVyc2lvbj0xLjAwMDMyMCZzaWduYXR1cmU9OGM3OWEyNmJhOGU4ZWRjN2M4Nzc3Njg3YTZkNmI3N2EzNGUwMDliMTU0MDZiM2VjNGU5NjJhYzRmM2EwOTJlYjY1MzhlYzUzNDQxZTg3NTY0OGU3MzYxNDhiM2Y1YTMx&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmEwMGJkOTdiLlBob3RvJTIwNC4xNzA4MjIuNC5qcGcmYXBwVmVyc2lvbj0xLjAwMDMyMCZzaWduYXR1cmU9OWUwZDIzMTc5OGYxNjE0MzlkNjUxNzlkNmY5NzYxYjAwOWNjMTg4MjVkMTU3MDY2M2IwMmU2MDdjZDU1NmU0ZTgyYWVhM2UwYjYxOWIyNWVhMTJmMDM2ZTBkMTJjMWNi&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmEwMGJkOTdiLlBob3RvJTIwNS4xNzA4MjIuMy5qcGcmYXBwVmVyc2lvbj0xLjAwMDMyMCZzaWduYXR1cmU9NjViZTNiZjZmNDIwZTRkNmMxZGIzN2VkNDUzZGVhZDBkY2RjOWQwOWE0ZWVlNjcxNzNmNjUxNmViNGQ4ZTllZDQ3YmRiOWY0NThkYzA3YmZhNzA3NTMyMGI2MjkyNWM0&w=600,,
Bear/Lion Incident Report,5/25/2020 18:53,Black Bear,Incident Location,391,Jefferson,524 - Conifer,Area 01,NE,Y,Incident Information,5/25/2020,8:00:00 AM,Sighting,,"Advice/Phone Call , Site Inspection , Pyrotechnics",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"Bear has been observed on porch at RP’s house and neighbor’s house over past week. Bear has been observed approaching livestock and investigating barn. Bear does not seem to be afraid of people. 

Today bear walked on porch of RP’s home. No food or attractants are on porch. Bear walked around barn where grain is stored. Nicholson advised to put grain bin in secure area, which RP did. 

Nicholson set pepper barrel by front porch and issued rubber buckshot to help protect livestock. 

Entered by Nicholson on 5/25/2020.

Nicholson removed pepper barrel on 5/29/2020. Bite marks on bait bag and black hair stick to bait bag.

Entered by Nicholson on 5/29/2020",
Bear/Lion Incident Report,7/7/2020 19:28,Black Bear,Incident Location,751,La Plata,323 - Bayfield,Area 15,SW,Y,Incident Information,7/7/2020,7:28:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/10/2020 12:01,Black Bear,Incident Location,76,Rio Grande,365 - S Fk/Del Norte,Area 17,SW,Y,Incident Information,7/9/2020,4:10:00 PM,"Sighting , Attack",,"Advice/Phone Call , Site Inspection , Trap Set",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,Y,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjQ0OTc2NDg0LlBob3RvJTIwMS4xODMwMTAuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTY5NGMzNTM2NmZiZjQ2NDYzMWJhZjFiY2NjNzZiNzI2YTJjMGJmZGEzZWE5M2Y5NGIzODViZGYxYTVmMWEzOGU3MWE2MWIyYjUwNTc1NGEyMDZkNTUwNTBmNzE4NzBjZQ==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjQ0OTc2NDg0LlBob3RvJTIwMi4xODMwMTAuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTE4M2I0MjVjNDBlOTUzYjg2MThmYmIwNDY2YzFhNTc1MDM3OTI0YTc1MjA4MzU4ZGI5MGJmNjQ1NTFlZDA3YjQxNTc0YzUyZjM3OTBmYjAwMWFiODkzOTk3ODMwMjc5NA==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjQ0OTc2NDg0LlBob3RvJTIwMy4xODMwMTAuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPThiY2MzYmMwZmIwZDVmODE1OTFlNTAzNThlNzdiMTQ2ZWM4MjczMzJkMDQ0YzAyMTEzYzBhMGUxOTVmOGNlZTk2ZjYyZTU1NDc1YmE2ZTA5MTk1NjQyMzYwYzZlY2M4OQ==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjQ0OTc2NDg0LlBob3RvJTIwNC4xODMwMTMuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTgxOTg0YTgyZWM0ZWFlNTcwMTk4YzE0MWQ3YmZkNzMyYjRhNDUyZjQzMDg5ZTk0MzRkODcwODEyYjlkNzI1MmU2YTlhMWI1YmJkNTIzNjQzOGIzOGUwZDUxOTIxYjQ5ZA==&w=600,,"DWM received a voicemail from Andy Dickey, ranch manager for the Elk Creek Ranch, that there had been an incident in which a bear had swatted a man. DWM Gallegos was not far away so he responded immediately. The individual who had the encounter was David Bixby. He had a decent scratch on his lower back, chose not to seek medical attention. DWM Gallegos asked him to explain what happened. From his written statement:
“At approximately 4:15 this afternoon, I was connecting a hose to our outside hose bib (squatted down, low to the ground) and heard a “paw step” followed immediately by a sharp strike to my lower right back, just above the waistline. I screamed and turned to see the bear retreating and stopped about 10-12 feet away up the hill. After calling my wife and dog inside, we observed the bear lingering around the cabin for another 15-20 minutes. By that time, Andy and Melanie, our ranch managers, and other ranch residents had gathered at the bear moved off to the west, up canyon.”
DWM Gallegos learned that the ranch manager had been called, and he shot the bear with a bean bag round (given to him previously to haze bears). The bear moved away from the area.  DWM Gallegos looked for the bear, but didn’t locate it, so he set a trap. AWM Basagoitia was advised once cell coverage was available.
On the morning of 7/10, DWM Gallegos received a text from the Bixby that the bear had not come back overnight.",
Bear/Lion Incident Report,8/10/2020 12:50,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,,Incident Information,8/10/2020,12:50:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/18/2020 13:57,Black Bear,Incident Location,12,Rio Blanco,426 - Meeker N,Area 06,NW,N,Incident Information,8/14/2020,1:57:00 PM,Food Source Property Damage,Livestock,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
